"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","備考/Note"
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric",
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE","true",,"Metric",
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE","true","[HOUR_OF_DAY]","Metric",
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","true","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]","Metric",
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","true","[HOUR_OF_DAY]","Metric",
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","true","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]","Metric",
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","true","[HOUR_OF_DAY]","Metric",
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","DOUBLE","true","[HOUR_OF_DAY]","Metric","データ取得出来ない場合、値に[--]が設定されます"
"CAMPAIGN_MOBILE_BID_MODIFIER","スマートフォン入札価格調整率（％）","Smartphone Bid Adjustment (%)","mobileBidAdj","DOUBLE","true",,"Attribute","データ取得出来ない場合、値に[--]が設定されます"
"CAMPAIGN_DESKTOP_BID_MODIFIER","PC入札価格調整率（％）","PC Bid Adjustment (%)","desktopBidAdj","DOUBLE","true",,"Attribute","データ取得出来ない場合、値に[--]が設定されます"
"CAMPAIGN_TABLET_BID_MODIFIER","タブレット入札価格調整率（％）","Tablet Bid Adjustment (%)","tabletBidAdj","DOUBLE","true",,"Attribute","データ取得出来ない場合、値に[--]が設定されます"
"NETWORK","広告掲載方式の指定","Network","network","ENUM","false",,"Segment",
"CLICK_TYPE","クリック種別","ClickType","clickType","ENUM","false","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, BUDGET_LOST_IMPRESSION_SHARE, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, QUALITY_LOST_IMPRESSION_SHARE, SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_TOP_IMPRESSION_SHARE, SEARCH_TOP_IMPRESSION_SHARE, TOP_IMPRESSION_PERCENTAGE]","Segment",
"DEVICE","デバイス","Device","device","ENUM","false",,"Segment",
"DAY","日","Day","day","STRING","false",,"Segment",
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","false",,"Segment",
"QUARTER","四半期","Quarter","quarter","STRING","false",,"Segment",
"YEAR","年間","Year","year","STRING","false",,"Segment",
"MONTH","毎月","Month","month","STRING","false",,"Segment",
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false",,"Segment",
"WEEK","毎週","Week","week","STRING","false",,"Segment",
"HOUR_OF_DAY","時間","Hour of day","hourofday","LONG","false","[ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, ALL_CONV_VALUE_PER_COST, COST_PER_ALL_CONV, CROSS_DEVICE_CONVERSIONS, INVALID_CLICKS, INVALID_CLICK_RATE, VALUE_PER_ALL_CONV]","Segment",
